Date,Home Team,Away Team,Score,Season
25/11/2023,RC Strasbourg,Olympique Marseille,1:1 (1:1),2023-2024
,OGC Nice,Toulouse FC,1:0 (0:0),2023-2024
26/11/2023,FC Lorient,FC Metz,2:3 (2:1),2023-2024
,FC Nantes,Havre AC,0:0 (0:0),2023-2024
,Montpellier HSC,Stade Brestois 29,1:3 (0:1),2023-2024
,Stade Rennais,Stade de Reims,3:1 (1:1),2023-2024
,Olympique Lyonnais,Lille OSC,0:2 (0:2),2023-2024
,Stade de Reims,RC Strasbourg,2:1 (2:0),2023-2024
01/12/2023,RC Lens,Olympique Lyonnais,3:2 (1:1),2023-2024
02/12/2023,FC Nantes,OGC Nice,1:0 (1:0),2023-2024
,Havre AC,Paris Saint-Germain,0:2 (0:1),2023-2024
03/12/2023,AS Monaco,Montpellier HSC,2:0 (1:0),2023-2024
,Toulouse FC,FC Lorient,1:1 (0:0),2023-2024
,Stade Brestois 29,Clermont Foot 63,3:0 (2:0),2023-2024
,Lille OSC,FC Metz,2:0 (2:0),2023-2024
,Olympique Marseille,Stade Rennais,2:0 (1:0),2023-2024
,Montpellier HSC,RC Lens,0:0 (0:0),2023-2024
08/12/2023,Stade Rennais,AS Monaco,1:2 (0:0),2023-2024
09/12/2023,Paris Saint-Germain,FC Nantes,2:1 (1:0),2023-2024
,OGC Nice,Stade de Reims,2:1 (0:0),2023-2024
10/12/2023,Clermont Foot 63,Lille OSC,0:0 (0:0),2023-2024
,FC Metz,Stade Brestois 29,0:1 (0:0),2023-2024
,RC Strasbourg,Havre AC,2:1 (1:0),2023-2024
,Olympique Lyonnais,Toulouse FC,3:0 (2:0),2023-2024
,FC Lorient,Olympique Marseille,2:4 (1:4),2023-2024
,AS Monaco,Olympique Lyonnais,0:1 (0:0),2023-2024
15/12/2023,Havre AC,OGC Nice,3:1 (2:0),2023-2024
16/12/2023,RC Lens,Stade de Reims,2:0 (1:0),2023-2024
,FC Nantes,Stade Brestois 29,0:2 (0:0),2023-2024
17/12/2023,FC Lorient,RC Strasbourg,1:2 (0:1),2023-2024
,FC Metz,Montpellier HSC,0:1 (0:1),2023-2024
,Toulouse FC,Stade Rennais,0:0 (0:0),2023-2024
,Olympique Marseille,Clermont Foot 63,2:1 (2:0),2023-2024
,Lille OSC,Paris Saint-Germain,1:1 (0:0),2023-2024
,Clermont Foot 63,Stade Rennais,1:3 (1:0),2023-2024
20/12/2023,Toulouse FC,AS Monaco,1:2 (1:2),2023-2024
,Montpellier HSC,Olympique Marseille,1:1 (1:0),2023-2024
,OGC Nice,RC Lens,2:0 (0:0),2023-2024
,Olympique Lyonnais,FC Nantes,1:0 (0:0),2023-2024
,Paris Saint-Germain,FC Metz,3:1 (0:0),2023-2024
,RC Strasbourg,Lille OSC,2:1 (1:1),2023-2024
,Stade Brestois 29,FC Lorient,4:0 (4:0),2023-2024
,Stade de Reims,Havre AC,1:0 (1:0),2023-2024
,Olympique Marseille,RC Strasbourg,1:1 (1:0),2023-2024
12/01/2024,AS Monaco,Stade de Reims,1:3 (0:1),2023-2024
13/01/2024,Stade Rennais,OGC Nice,2:0 (1:0),2023-2024
,Lille OSC,FC Lorient,3:0 (1:0),2023-2024
14/01/2024,FC Metz,Toulouse FC,0:1 (0:1),2023-2024
,FC Nantes,Clermont Foot 63,1:2 (0:1),2023-2024
,Stade Brestois 29,Montpellier HSC,2:0 (0:0),2023-2024
,Havre AC,Olympique Lyonnais,3:1 (1:0),2023-2024
,RC Lens,Paris Saint-Germain,0:2 (0:1),2023-2024
,Olympique Lyonnais,Stade Rennais,2:3 (0:3),2023-2024
26/01/2024,OGC Nice,FC Metz,1:0 (0:0),2023-2024
27/01/2024,Olympique Marseille,AS Monaco,2:2 (1:2),2023-2024
,Montpellier HSC,Lille OSC,0:0 (0:0),2023-2024
28/01/2024,Clermont Foot 63,RC Strasbourg,1:1 (0:1),2023-2024
,FC Lorient,Havre AC,3:3 (1:1),2023-2024
,Stade de Reims,FC Nantes,0:0 (0:0),2023-2024
,Toulouse FC,RC Lens,0:2 (0:1),2023-2024
,Paris Saint-Germain,Stade Brestois 29,2:2 (2:0),2023-2024
,RC Strasbourg,Paris Saint-Germain,1:2 (0:1),2023-2024
02/02/2024,Stade Rennais,Montpellier HSC,2:1 (1:0),2023-2024
03/02/2024,FC Nantes,RC Lens,0:1 (0:0),2023-2024
,AS Monaco,Havre AC,1:1 (0:0),2023-2024
04/02/2024,FC Metz,FC Lorient,1:2 (1:1),2023-2024
,Lille OSC,Clermont Foot 63,4:0 (4:0),2023-2024
,Stade de Reims,Toulouse FC,2:3 (0:3),2023-2024
,Stade Brestois 29,OGC Nice,0:0 (0:0),2023-2024
,Olympique Lyonnais,Olympique Marseille,1:0 (1:0),2023-2024
,Olympique Marseille,FC Metz,1:1 (0:0),2023-2024
09/02/2024,RC Lens,RC Strasbourg,3:1 (2:1),2023-2024
10/02/2024,Paris Saint-Germain,Lille OSC,3:1 (2:1),2023-2024
,Havre AC,Stade Rennais,0:1 (0:0),2023-2024
11/02/2024,Clermont Foot 63,Stade Brestois 29,1:1 (0:0),2023-2024
,FC Lorient,Stade de Reims,2:0 (0:0),2023-2024
,Toulouse FC,FC Nantes,1:2 (0:1),2023-2024
,Montpellier HSC,Olympique Lyonnais,1:2 (1:0),2023-2024
,OGC Nice,AS Monaco,2:3 (1:1),2023-2024
,Olympique Lyonnais,OGC Nice,1:0 (1:0),2023-2024
16/02/2024,Lille OSC,Havre AC,3:0 (2:0),2023-2024
17/02/2024,FC Nantes,Paris Saint-Germain,0:2 (0:0),2023-2024
,RC Strasbourg,FC Lorient,1:3 (0:2),2023-2024
18/02/2024,AS Monaco,Toulouse FC,1:2 (0:1),2023-2024
,Montpellier HSC,FC Metz,3:0 (1:0),2023-2024
,Stade Rennais,Clermont Foot 63,3:1 (1:0),2023-2024
,Stade de Reims,RC Lens,1:1 (1:1),2023-2024
,Stade Brestois 29,Olympique Marseille,1:0 (0:0),2023-2024
,FC Metz,Olympique Lyonnais,1:2 (1:1),2023-2024
23/02/2024,FC Lorient,FC Nantes,0:1 (0:0),2023-2024
24/02/2024,RC Strasbourg,Stade Brestois 29,0:3 (0:2),2023-2024
,RC Lens,AS Monaco,2:3 (1:2),2023-2024
25/02/2024,Havre AC,Stade de Reims,1:2 (0:0),2023-2024
,Toulouse FC,Lille OSC,3:1 (0:1),2023-2024
,OGC Nice,Clermont Foot 63,0:0 (0:0),2023-2024
,Paris Saint-Germain,Stade Rennais,1:1 (0:1),2023-2024
,Olympique Marseille,Montpellier HSC,4:1 (2:1),2023-2024
,AS Monaco,Paris Saint-Germain,0:0 (0:0),2023-2024
01/03/2024,Stade de Reims,Lille OSC,0:1 (0:0),2023-2024
02/03/2024,Clermont Foot 63,Olympique Marseille,1:5 (0:1),2023-2024
,Toulouse FC,OGC Nice,2:1 (0:1),2023-2024
03/03/2024,FC Nantes,FC Metz,0:2 (0:0),2023-2024
,Montpellier HSC,RC Strasbourg,2:2 (0:0),2023-2024
,Stade Brestois 29,Havre AC,1:0 (1:0),2023-2024
,Stade Rennais,FC Lorient,1:2 (0:0),2023-2024
,Olympique Lyonnais,RC Lens,0:3 (0:1),2023-2024
,OGC Nice,Montpellier HSC,1:2 (1:2),2023-2024
08/03/2024,FC Lorient,Olympique Lyonnais,0:2 (0:0),2023-2024
09/03/2024,RC Lens,Stade Brestois 29,1:0 (1:0),2023-2024
,Paris Saint-Germain,Stade de Reims,2:2 (2:2),2023-2024
10/03/2024,Havre AC,Toulouse FC,1:0 (0:0),2023-2024
,FC Metz,Clermont Foot 63,1:0 (1:0),2023-2024
,RC Strasbourg,AS Monaco,0:1 (0:0),2023-2024
,Lille OSC,Stade Rennais,2:2 (0:2),2023-2024
,Olympique Marseille,FC Nantes,2:0 (1:0),2023-2024
,Toulouse FC,Olympique Lyonnais,2:3 (0:1),2023-2024
15/03/2024,FC Nantes,RC Strasbourg,1:3 (1:1),2023-2024
16/03/2024,RC Lens,OGC Nice,1:3 (0:1),2023-2024
,Stade Brestois 29,Lille OSC,1:1 (0:0),2023-2024
17/03/2024,AS Monaco,FC Lorient,2:2 (1:1),2023-2024
,Clermont Foot 63,Havre AC,2:1 (2:1),2023-2024
,Stade de Reims,FC Metz,2:1 (1:1),2023-2024
,Stade Rennais,Olympique Marseille,2:0 (1:0),2023-2024
,Montpellier HSC,Paris Saint-Germain,2:6 (2:2),2023-2024
,Lille OSC,RC Lens,2:1 (1:0),2023-2024
29/03/2024,FC Metz,AS Monaco,2:5 (0:3),2023-2024
30/03/2024,Olympique Lyonnais,Stade de Reims,1:1 (0:0),2023-2024
,FC Lorient,Stade Brestois 29,0:1 (0:0),2023-2024
31/03/2024,Havre AC,Montpellier HSC,0:2 (0:0),2023-2024
,Clermont Foot 63,Toulouse FC,0:3 (0:1),2023-2024
,OGC Nice,FC Nantes,1:2 (0:1),2023-2024
,RC Strasbourg,Stade Rennais,2:0 (0:0),2023-2024
,Olympique Marseille,Paris Saint-Germain,0:2 (0:0),2023-2024
,Lille OSC,Olympique Marseille,3:1 (0:0),2023-2024
05/04/2024,RC Lens,Havre AC,1:1 (0:0),2023-2024
06/04/2024,Paris Saint-Germain,Clermont Foot 63,1:1 (0:1),2023-2024
,Stade Brestois 29,FC Metz,4:3 (3:1),2023-2024
07/04/2024,Toulouse FC,RC Strasbourg,0:0 (0:0),2023-2024
,Montpellier HSC,FC Lorient,2:0 (0:0),2023-2024
,Stade de Reims,OGC Nice,0:0 (0:0),2023-2024
,AS Monaco,Stade Rennais,1:0 (1:0),2023-2024
,FC Nantes,Olympique Lyonnais,1:3 (1:0),2023-2024
,FC Metz,RC Lens,2:1 (2:1),2023-2024
12/04/2024,RC Strasbourg,Stade de Reims,3:1 (1:1),2023-2024
13/04/2024,Stade Rennais,Toulouse FC,1:2 (1:2),2023-2024
,Havre AC,FC Nantes,0:1 (0:0),2023-2024
14/04/2024,Clermont Foot 63,Montpellier HSC,1:1 (1:0),2023-2024
,Olympique Lyonnais,Stade Brestois 29,4:3 (1:0),2023-2024
,FC Lorient,Paris Saint-Germain,1:4 (0:2),2023-2024
24/04/2024,AS Monaco,Lille OSC,1:0 (0:0),2023-2024
,Olympique Marseille,OGC Nice,2:2 (1:1),2023-2024
,OGC Nice,FC Lorient,3:0 (1:0),2023-2024
19/04/2024,FC Nantes,Stade Rennais,0:3 (0:0),2023-2024
20/04/2024,RC Lens,Clermont Foot 63,1:0 (1:0),2023-2024
,Havre AC,FC Metz,0:1 (0:0),2023-2024
21/04/2024,Lille OSC,RC Strasbourg,1:0 (1:0),2023-2024
,Stade de Reims,Montpellier HSC,1:2 (0:1),2023-2024
,Stade Brestois 29,AS Monaco,0:2 (0:1),2023-2024
,Toulouse FC,Olympique Marseille,2:2 (1:1),2023-2024
,Paris Saint-Germain,Olympique Lyonnais,4:1 (4:1),2023-2024
,Montpellier HSC,FC Nantes,1:1 (1:1),2023-2024
26/04/2024,Paris Saint-Germain,Havre AC,3:3 (1:2),2023-2024
27/04/2024,FC Metz,Lille OSC,1:2 (1:2),2023-2024
28/04/2024,Clermont Foot 63,Stade de Reims,4:1 (1:1),2023-2024
,FC Lorient,Toulouse FC,1:2 (1:0),2023-2024
,RC Strasbourg,OGC Nice,1:3 (1:1),2023-2024
,Stade Rennais,Stade Brestois 29,4:5 (2:1),2023-2024
,Olympique Lyonnais,AS Monaco,3:2 (2:1),2023-2024
,Olympique Marseille,RC Lens,2:1 (1:0),2023-2024
,Toulouse FC,Montpellier HSC,1:2 (1:1),2023-2024
03/05/2024,RC Lens,FC Lorient,2:0 (0:0),2023-2024
,Havre AC,RC Strasbourg,3:1 (1:0),2023-2024
04/05/2024,AS Monaco,Clermont Foot 63,4:1 (2:1),2023-2024
,FC Metz,Stade Rennais,2:3 (2:1),2023-2024
,Stade Brestois 29,FC Nantes,0:0 (0:0),2023-2024
,Lille OSC,Olympique Lyonnais,3:4 (2:0),2023-2024
06/05/2024,OGC Nice,Paris Saint-Germain,1:2 (1:2),2023-2024
15/05/2024,Stade de Reims,Olympique Marseille,1:0 (1:0),2023-2024
,OGC Nice,Havre AC,1:0 (1:0),2023-2024
10/05/2024,Stade Brestois 29,Stade de Reims,1:1 (1:1),2023-2024
,Clermont Foot 63,Olympique Lyonnais,0:1 (0:0),2023-2024
12/05/2024,FC Nantes,Lille OSC,1:2 (0:2),2023-2024
,Montpellier HSC,AS Monaco,0:2 (0:0),2023-2024
,Olympique Marseille,FC Lorient,3:1 (2:1),2023-2024
,Paris Saint-Germain,Toulouse FC,1:3 (1:1),2023-2024
,RC Strasbourg,FC Metz,2:1 (0:0),2023-2024
,Stade Rennais,RC Lens,1:1 (0:0),2023-2024
,Havre AC,Olympique Marseille,1:2 (0:0),2023-2024
19/05/2024,AS Monaco,FC Nantes,4:0 (3:0),2023-2024
,FC Lorient,Clermont Foot 63,5:0 (2:0),2023-2024
,FC Metz,Paris Saint-Germain,0:2 (0:2),2023-2024
,Toulouse FC,Stade Brestois 29,0:3 (0:0),2023-2024
,Olympique Lyonnais,RC Strasbourg,2:1 (1:0),2023-2024
,Lille OSC,OGC Nice,2:2 (0:1),2023-2024
,RC Lens,Montpellier HSC,2:2 (2:0),2023-2024
,Stade de Reims,Stade Rennais,2:1 (0:0),2023-2024
,Havre AC,Paris Saint-Germain,1:4 (0:1),2023-2024
Latest news »,Stade Brestois 29,Olympique Marseille,1:5 (1:3),2023-2024
16/08/2024,Stade de Reims,Lille OSC,0:2 (0:1),2024-2025
17/08/2024,AS Monaco,AS Saint-Étienne,1:0 (1:0),2024-2025
,AJ Auxerre,OGC Nice,2:1 (1:1),2024-2025
,Montpellier HSC,RC Strasbourg,1:1 (0:0),2024-2025
18/08/2024,Toulouse FC,FC Nantes,0:0 (0:0),2024-2025
,Angers SCO,RC Lens,0:1 (0:1),2024-2025
,Stade Rennais,Olympique Lyonnais,3:0 (2:0),2024-2025
,Paris Saint-Germain,Montpellier HSC,6:0 (2:0),2024-2025
,Olympique Lyonnais,AS Monaco,0:2 (0:0),2024-2025
23/08/2024,Lille OSC,Angers SCO,2:0 (1:0),2024-2025
24/08/2024,AS Saint-Étienne,Havre AC,0:2 (0:0),2024-2025
,RC Lens,Stade Brestois 29,2:0 (2:0),2024-2025
,RC Strasbourg,Stade Rennais,3:1 (1:0),2024-2025
25/08/2024,FC Nantes,AJ Auxerre,2:0 (1:0),2024-2025
,OGC Nice,Toulouse FC,1:1 (0:0),2024-2025
,Olympique Marseille,Stade de Reims,2:2 (1:0),2024-2025
,Olympique Lyonnais,RC Strasbourg,4:3 (1:1),2024-2025
,Stade Brestois 29,AS Saint-Étienne,4:0 (2:0),2024-2025
30/08/2024,Montpellier HSC,FC Nantes,1:3 (1:2),2024-2025
31/08/2024,Toulouse FC,Olympique Marseille,1:3 (0:2),2024-2025
,AS Monaco,RC Lens,1:1 (0:0),2024-2025
,Angers SCO,OGC Nice,1:4 (0:2),2024-2025
01/09/2024,Havre AC,AJ Auxerre,3:1 (1:1),2024-2025
,Stade de Reims,Stade Rennais,2:1 (1:1),2024-2025
,Lille OSC,Paris Saint-Germain,1:3 (0:2),2024-2025
,AS Saint-Étienne,Lille OSC,1:0 (1:0),2024-2025
,Olympique Marseille,OGC Nice,2:0 (1:0),2024-2025
13/09/2024,AJ Auxerre,AS Monaco,0:3 (0:2),2024-2025
14/09/2024,Paris Saint-Germain,Stade Brestois 29,3:1 (1:1),2024-2025
,Stade Rennais,Montpellier HSC,3:0 (2:0),2024-2025
,FC Nantes,Stade de Reims,1:2 (1:1),2024-2025
15/09/2024,Toulouse FC,Havre AC,2:0 (0:0),2024-2025
,RC Strasbourg,Angers SCO,1:1 (1:0),2024-2025
,RC Lens,Olympique Lyonnais,0:0 (0:0),2024-2025
,OGC Nice,AS Saint-Étienne,8:0 (6:0),2024-2025
,Lille OSC,RC Strasbourg,3:3 (2:2),2024-2025
20/09/2024,Stade Rennais,RC Lens,1:1 (1:0),2024-2025
21/09/2024,Stade de Reims,Paris Saint-Germain,1:1 (1:0),2024-2025
,AS Monaco,Havre AC,3:1 (1:1),2024-2025
,Stade Brestois 29,Toulouse FC,2:0 (1:0),2024-2025
22/09/2024,Angers SCO,FC Nantes,1:1 (1:1),2024-2025
,Montpellier HSC,AJ Auxerre,3:2 (0:1),2024-2025
,Olympique Lyonnais,Olympique Marseille,2:3 (0:0),2024-2025
,AJ Auxerre,Stade Brestois 29,3:0 (2:0),2024-2025
,Paris Saint-Germain,Stade Rennais,3:1 (1:0),2024-2025
27/09/2024,RC Lens,OGC Nice,0:0 (0:0),2024-2025
,Havre AC,Lille OSC,0:3 (0:2),2024-2025
28/09/2024,AS Monaco,Montpellier HSC,2:1 (1:1),2024-2025
,Toulouse FC,Olympique Lyonnais,1:2 (1:1),2024-2025
,FC Nantes,AS Saint-Étienne,2:2 (1:0),2024-2025
29/09/2024,Angers SCO,Stade de Reims,1:3 (0:2),2024-2025
,RC Strasbourg,Olympique Marseille,1:0 (1:0),2024-2025
,Olympique Marseille,Angers SCO,1:1 (0:0),2024-2025
,AS Saint-Étienne,AJ Auxerre,3:1 (1:0),2024-2025
04/10/2024,Lille OSC,Toulouse FC,2:1 (0:1),2024-2025
05/10/2024,Stade Rennais,AS Monaco,1:2 (1:2),2024-2025
,Olympique Lyonnais,FC Nantes,2:0 (1:0),2024-2025
,Stade Brestois 29,Havre AC,2:0 (1:0),2024-2025
06/10/2024,RC Strasbourg,RC Lens,2:2 (1:2),2024-2025
,Stade de Reims,Montpellier HSC,4:2 (2:1),2024-2025
,OGC Nice,Paris Saint-Germain,1:1 (1:0),2024-2025
,AS Monaco,Lille OSC,0:0 (0:0),2024-2025
,Stade Brestois 29,Stade Rennais,1:1 (0:0),2024-2025
18/10/2024,AS Saint-Étienne,RC Lens,0:2 (0:1),2024-2025
19/10/2024,Paris Saint-Germain,RC Strasbourg,4:2 (1:0),2024-2025
,Havre AC,Olympique Lyonnais,0:4 (0:1),2024-2025
,AJ Auxerre,Stade de Reims,2:1 (1:0),2024-2025
20/10/2024,Toulouse FC,Angers SCO,1:1 (0:1),2024-2025
,FC Nantes,OGC Nice,1:1 (0:0),2024-2025
,Montpellier HSC,Olympique Marseille,0:5 (0:3),2024-2025
,Stade Rennais,Havre AC,1:0 (0:0),2024-2025
,Angers SCO,AS Saint-Étienne,4:2 (2:1),2024-2025
25/10/2024,Stade de Reims,Stade Brestois 29,1:2 (1:2),2024-2025
26/10/2024,RC Lens,Lille OSC,0:2 (0:0),2024-2025
,Olympique Lyonnais,AJ Auxerre,2:2 (1:0),2024-2025
,OGC Nice,AS Monaco,2:1 (1:1),2024-2025
27/10/2024,Montpellier HSC,Toulouse FC,0:3 (0:3),2024-2025
,RC Strasbourg,FC Nantes,3:1 (1:0),2024-2025
,Olympique Marseille,Paris Saint-Germain,0:3 (0:3),2024-2025
,AS Monaco,Angers SCO,0:1 (0:1),2024-2025
,Lille OSC,Olympique Lyonnais,1:1 (1:0),2024-2025
01/11/2024,Paris Saint-Germain,RC Lens,1:0 (1:0),2024-2025
,Stade Brestois 29,OGC Nice,0:1 (0:1),2024-2025
02/11/2024,AS Saint-Étienne,RC Strasbourg,2:0 (0:0),2024-2025
,Toulouse FC,Stade de Reims,1:0 (0:0),2024-2025
,AJ Auxerre,Stade Rennais,4:0 (2:0),2024-2025
03/11/2024,Havre AC,Montpellier HSC,1:0 (0:0),2024-2025
,FC Nantes,Olympique Marseille,1:2 (1:1),2024-2025
,Olympique Marseille,AJ Auxerre,1:3 (0:3),2024-2025
,RC Strasbourg,AS Monaco,1:3 (1:0),2024-2025
08/11/2024,RC Lens,FC Nantes,3:2 (1:1),2024-2025
09/11/2024,Angers SCO,Paris Saint-Germain,2:4 (0:4),2024-2025
,OGC Nice,Lille OSC,2:2 (0:1),2024-2025
,Montpellier HSC,Stade Brestois 29,3:1 (2:0),2024-2025
10/11/2024,Havre AC,Stade de Reims,0:3 (0:2),2024-2025
,Stade Rennais,Toulouse FC,0:2 (0:2),2024-2025
,Olympique Lyonnais,AS Saint-Étienne,1:0 (1:0),2024-2025
,AS Monaco,Stade Brestois 29,3:2 (2:0),2024-2025
,Paris Saint-Germain,Toulouse FC,3:0 (1:0),2024-2025
22/11/2024,RC Lens,Olympique Marseille,1:3 (0:0),2024-2025
,AS Saint-Étienne,Montpellier HSC,1:0 (0:0),2024-2025
23/11/2024,Stade de Reims,Olympique Lyonnais,1:1 (0:1),2024-2025
,Lille OSC,Stade Rennais,1:0 (1:0),2024-2025
,FC Nantes,Havre AC,0:2 (0:1),2024-2025
24/11/2024,AJ Auxerre,Angers SCO,1:0 (0:0),2024-2025
,OGC Nice,RC Strasbourg,2:1 (0:1),2024-2025
,Stade de Reims,RC Lens,0:2 (0:1),2024-2025
,Stade Rennais,AS Saint-Étienne,5:0 (2:0),2024-2025
29/11/2024,Stade Brestois 29,RC Strasbourg,3:1 (2:0),2024-2025
30/11/2024,Paris Saint-Germain,FC Nantes,1:1 (1:1),2024-2025
,Montpellier HSC,Lille OSC,2:2 (1:1),2024-2025
,Havre AC,Angers SCO,0:1 (0:0),2024-2025
01/12/2024,Toulouse FC,AJ Auxerre,2:0 (2:0),2024-2025
,Olympique Lyonnais,OGC Nice,4:1 (3:1),2024-2025
,Olympique Marseille,AS Monaco,2:1 (0:1),2024-2025
,Lille OSC,Stade Brestois 29,3:1 (2:0),2024-2025
,AJ Auxerre,Paris Saint-Germain,0:0 (0:0),2024-2025
06/12/2024,AS Monaco,Toulouse FC,2:0 (0:0),2024-2025
,OGC Nice,Havre AC,2:1 (0:0),2024-2025
07/12/2024,Angers SCO,Olympique Lyonnais,0:3 (0:1),2024-2025
,RC Lens,Montpellier HSC,2:0 (1:0),2024-2025
,RC Strasbourg,Stade de Reims,0:0 (0:0),2024-2025
08/12/2024,FC Nantes,Stade Rennais,1:0 (0:0),2024-2025
,AS Saint-Étienne,Olympique Marseille,0:2 (0:1),2024-2025
,Toulouse FC,AS Saint-Étienne,2:1 (0:0),2024-2025
,Olympique Marseille,Lille OSC,1:1 (1:0),2024-2025
13/12/2024,AJ Auxerre,RC Lens,2:2 (1:2),2024-2025
14/12/2024,Stade de Reims,AS Monaco,0:0 (0:0),2024-2025
,Montpellier HSC,OGC Nice,2:2 (1:2),2024-2025
,Stade Rennais,Angers SCO,2:0 (1:0),2024-2025
15/12/2024,Havre AC,RC Strasbourg,0:3 (0:2),2024-2025
,Stade Brestois 29,FC Nantes,4:1 (2:0),2024-2025
,Paris Saint-Germain,Olympique Lyonnais,3:1 (2:1),2024-2025
,AS Monaco,Paris Saint-Germain,2:4 (0:1),2024-2025
,OGC Nice,Stade Rennais,3:2 (3:1),2024-2025
18/12/2024,AS Saint-Étienne,Stade de Reims,3:1 (0:1),2024-2025
03/01/2025,Lille OSC,FC Nantes,1:1 (1:0),2024-2025
04/01/2025,Olympique Lyonnais,Montpellier HSC,1:0 (0:0),2024-2025
,RC Lens,Toulouse FC,0:1 (0:0),2024-2025
,Angers SCO,Stade Brestois 29,2:0 (1:0),2024-2025
05/01/2025,RC Strasbourg,AJ Auxerre,3:1 (1:1),2024-2025
,Olympique Marseille,Havre AC,5:1 (3:0),2024-2025
,FC Nantes,AS Monaco,2:2 (1:0),2024-2025
,AJ Auxerre,Lille OSC,0:0 (0:0),2024-2025
10/01/2025,Stade Brestois 29,Olympique Lyonnais,2:1 (2:1),2024-2025
,Stade de Reims,OGC Nice,2:4 (1:2),2024-2025
11/01/2025,Stade Rennais,Olympique Marseille,1:2 (1:1),2024-2025
,Havre AC,RC Lens,1:2 (1:1),2024-2025
,Toulouse FC,RC Strasbourg,1:2 (1:2),2024-2025
12/01/2025,Montpellier HSC,Angers SCO,1:3 (0:1),2024-2025
,Paris Saint-Germain,AS Saint-Étienne,2:1 (2:0),2024-2025
,Montpellier HSC,AS Monaco,2:1 (0:1),2024-2025
,Lille OSC,OGC Nice,2:1 (0:1),2024-2025
17/01/2025,RC Lens,Paris Saint-Germain,1:2 (1:0),2024-2025
,Stade Rennais,Stade Brestois 29,0:0,2024-2025
18/01/2025,Olympique Lyonnais,Toulouse FC,-:-,2024-2025
,AS Saint-Étienne,FC Nantes,-:-,2024-2025
,Stade de Reims,Havre AC,-:-,2024-2025
19/01/2025,Angers SCO,AJ Auxerre,-:-,2024-2025
,Olympique Marseille,RC Strasbourg,-:-,2024-2025
,AJ Auxerre,AS Saint-Étienne,-:-,2024-2025
,AS Monaco,Stade Rennais,-:-,2024-2025
24/01/2025,RC Strasbourg,Lille OSC,-:-,2024-2025
25/01/2025,Paris Saint-Germain,Stade de Reims,-:-,2024-2025
,Havre AC,Stade Brestois 29,-:-,2024-2025
,FC Nantes,Olympique Lyonnais,-:-,2024-2025
26/01/2025,Toulouse FC,Montpellier HSC,-:-,2024-2025
,RC Lens,Angers SCO,-:-,2024-2025
,OGC Nice,Olympique Marseille,-:-,2024-2025
,Stade Brestois 29,Paris Saint-Germain,-:-,2024-2025
,Montpellier HSC,RC Lens,-:-,2024-2025
01/02/2025,Lille OSC,AS Saint-Étienne,-:-,2024-2025
02/02/2025,Stade de Reims,FC Nantes,-:-,2024-2025
,Angers SCO,Havre AC,-:-,2024-2025
,Toulouse FC,OGC Nice,-:-,2024-2025
,Stade Rennais,RC Strasbourg,-:-,2024-2025
,AS Monaco,AJ Auxerre,-:-,2024-2025
,Olympique Marseille,Olympique Lyonnais,-:-,2024-2025
,AJ Auxerre,Toulouse FC,-:-,2024-2025
,FC Nantes,Stade Brestois 29,-:-,2024-2025
09/02/2025,RC Strasbourg,Montpellier HSC,-:-,2024-2025
,Lille OSC,Havre AC,-:-,2024-2025
,AS Saint-Étienne,Stade Rennais,-:-,2024-2025
,Paris Saint-Germain,AS Monaco,-:-,2024-2025
,Olympique Lyonnais,Stade de Reims,-:-,2024-2025
,Angers SCO,Olympique Marseille,-:-,2024-2025
,OGC Nice,RC Lens,-:-,2024-2025
,Toulouse FC,Paris Saint-Germain,-:-,2024-2025
,Olympique Marseille,AS Saint-Étienne,-:-,2024-2025
16/02/2025,Montpellier HSC,Olympique Lyonnais,-:-,2024-2025
,RC Lens,RC Strasbourg,-:-,2024-2025
,Stade Brestois 29,AJ Auxerre,-:-,2024-2025
,Stade Rennais,Lille OSC,-:-,2024-2025
,Stade de Reims,Angers SCO,-:-,2024-2025
,Havre AC,OGC Nice,-:-,2024-2025
,AS Monaco,FC Nantes,-:-,2024-2025
,Stade Rennais,Stade de Reims,-:-,2024-2025
,Havre AC,Toulouse FC,-:-,2024-2025
23/02/2025,Lille OSC,AS Monaco,-:-,2024-2025
,RC Strasbourg,Stade Brestois 29,-:-,2024-2025
,FC Nantes,RC Lens,-:-,2024-2025
,AS Saint-Étienne,Angers SCO,-:-,2024-2025
,AJ Auxerre,Olympique Marseille,-:-,2024-2025
,OGC Nice,Montpellier HSC,-:-,2024-2025
,Olympique Lyonnais,Paris Saint-Germain,-:-,2024-2025
,Paris Saint-Germain,Lille OSC,-:-,2024-2025
,Olympique Marseille,FC Nantes,-:-,2024-2025
02/03/2025,Olympique Lyonnais,Stade Brestois 29,-:-,2024-2025
,Montpellier HSC,Stade Rennais,-:-,2024-2025
,AS Saint-Étienne,OGC Nice,-:-,2024-2025
,RC Lens,Havre AC,-:-,2024-2025
,AJ Auxerre,RC Strasbourg,-:-,2024-2025
,AS Monaco,Stade de Reims,-:-,2024-2025
,Angers SCO,Toulouse FC,-:-,2024-2025
,Havre AC,AS Saint-Étienne,-:-,2024-2025
,Stade de Reims,AJ Auxerre,-:-,2024-2025
09/03/2025,FC Nantes,RC Strasbourg,-:-,2024-2025
,Toulouse FC,AS Monaco,-:-,2024-2025
,OGC Nice,Olympique Lyonnais,-:-,2024-2025
