Date,Home Team,Away Team,Score,Season
26/01/2025,Bodrum FK,Eyüpspor,-:-,2024-2025
,Fenerbahçe,Göztepe,-:-,2024-2025
,Kasımpaşa SK,Hatayspor,-:-,2024-2025
,Eyüpspor,Sivasspor,-:-,2024-2025
27/01/2025,Konyaspor,Bodrum FK,-:-,2024-2025
31/01/2025,Hatayspor,Antalyaspor,-:-,2024-2025
,Kayserispor,Trabzonspor,-:-,2024-2025
01/02/2025,İstanbul Başakşehir,Samsunspor,-:-,2024-2025
,Adana Demirspor,Kasımpaşa SK,-:-,2024-2025
,Göztepe,Alanyaspor,-:-,2024-2025
02/02/2025,Fenerbahçe,Çaykur Rizespor,-:-,2024-2025
,Gaziantep FK,Galatasaray,-:-,2024-2025
,Sivasspor,Beşiktaş,-:-,2024-2025
03/02/2025,Kayserispor,Konyaspor,-:-,2024-2025
09/02/2025,Alanyaspor,Fenerbahçe,-:-,2024-2025
,Antalyaspor,İstanbul Başakşehir,-:-,2024-2025
,Kasımpaşa SK,Çaykur Rizespor,-:-,2024-2025
,Samsunspor,Hatayspor,-:-,2024-2025
,Trabzonspor,Eyüpspor,-:-,2024-2025
,Galatasaray,Adana Demirspor,-:-,2024-2025
,Bodrum FK,Göztepe,-:-,2024-2025
,Gaziantep FK,Sivasspor,-:-,2024-2025
,Eyüpspor,Kayserispor,-:-,2024-2025
16/02/2025,İstanbul Başakşehir,Bodrum FK,-:-,2024-2025
,Çaykur Rizespor,Galatasaray,-:-,2024-2025
,Konyaspor,Samsunspor,-:-,2024-2025
,Adana Demirspor,Antalyaspor,-:-,2024-2025
,Hatayspor,Alanyaspor,-:-,2024-2025
,Fenerbahçe,Kasımpaşa SK,-:-,2024-2025
,Beşiktaş,Trabzonspor,-:-,2024-2025
,Sivasspor,Konyaspor,-:-,2024-2025
,Alanyaspor,Adana Demirspor,-:-,2024-2025
23/02/2025,Antalyaspor,Kasımpaşa SK,-:-,2024-2025
,Kayserispor,Göztepe,-:-,2024-2025
,Samsunspor,Çaykur Rizespor,-:-,2024-2025
,Trabzonspor,Gaziantep FK,-:-,2024-2025
,Galatasaray,Fenerbahçe,-:-,2024-2025
,Eyüpspor,Beşiktaş,-:-,2024-2025
,Bodrum FK,Hatayspor,-:-,2024-2025
,Göztepe,Samsunspor,-:-,2024-2025
,Gaziantep FK,Eyüpspor,-:-,2024-2025
02/03/2025,Adana Demirspor,Bodrum FK,-:-,2024-2025
,Çaykur Rizespor,Alanyaspor,-:-,2024-2025
,İstanbul Başakşehir,Sivasspor,-:-,2024-2025
,Konyaspor,Trabzonspor,-:-,2024-2025
,Kasımpaşa SK,Galatasaray,-:-,2024-2025
,Beşiktaş,Kayserispor,-:-,2024-2025
,Fenerbahçe,Antalyaspor,-:-,2024-2025
,Beşiktaş,Gaziantep FK,-:-,2024-2025
,Sivasspor,Göztepe,-:-,2024-2025
09/03/2025,Kayserispor,İstanbul Başakşehir,-:-,2024-2025
,Alanyaspor,Galatasaray,-:-,2024-2025
,Antalyaspor,Çaykur Rizespor,-:-,2024-2025
,Samsunspor,Adana Demirspor,-:-,2024-2025
,Trabzonspor,Hatayspor,-:-,2024-2025
,Eyüpspor,Konyaspor,-:-,2024-2025
,Bodrum FK,Kasımpaşa SK,-:-,2024-2025
,Gaziantep FK,Kayserispor,-:-,2024-2025
,İstanbul Başakşehir,Trabzonspor,-:-,2024-2025
16/03/2025,Göztepe,Eyüpspor,-:-,2024-2025
,Çaykur Rizespor,Bodrum FK,-:-,2024-2025
,Galatasaray,Antalyaspor,-:-,2024-2025
,Fenerbahçe,Samsunspor,-:-,2024-2025
,Konyaspor,Beşiktaş,-:-,2024-2025
,Kasımpaşa SK,Alanyaspor,-:-,2024-2025
,Hatayspor,Sivasspor,-:-,2024-2025
,Sivasspor,Adana Demirspor,-:-,2024-2025
,Beşiktaş,Galatasaray,-:-,2024-2025
30/03/2025,Antalyaspor,Alanyaspor,-:-,2024-2025
,Kayserispor,Hatayspor,-:-,2024-2025
,Konyaspor,Gaziantep FK,-:-,2024-2025
,Trabzonspor,Göztepe,-:-,2024-2025
,Samsunspor,Kasımpaşa SK,-:-,2024-2025
,Eyüpspor,İstanbul Başakşehir,-:-,2024-2025
,Bodrum FK,Fenerbahçe,-:-,2024-2025
,Göztepe,Gaziantep FK,-:-,2024-2025
,İstanbul Başakşehir,Konyaspor,-:-,2024-2025
06/04/2025,Çaykur Rizespor,Sivasspor,-:-,2024-2025
,Fenerbahçe,Trabzonspor,-:-,2024-2025
,Adana Demirspor,Kayserispor,-:-,2024-2025
,Antalyaspor,Samsunspor,-:-,2024-2025
,Alanyaspor,Bodrum FK,-:-,2024-2025
,Kasımpaşa SK,Beşiktaş,-:-,2024-2025
,Hatayspor,Eyüpspor,-:-,2024-2025
,Sivasspor,Fenerbahçe,-:-,2024-2025
,Beşiktaş,İstanbul Başakşehir,-:-,2024-2025
13/04/2025,Kayserispor,Kasımpaşa SK,-:-,2024-2025
,Konyaspor,Göztepe,-:-,2024-2025
,Samsunspor,Galatasaray,-:-,2024-2025
,Trabzonspor,Çaykur Rizespor,-:-,2024-2025
,Eyüpspor,Adana Demirspor,-:-,2024-2025
,Gaziantep FK,Hatayspor,-:-,2024-2025
,Bodrum FK,Antalyaspor,-:-,2024-2025
,Göztepe,Beşiktaş,-:-,2024-2025
,Çaykur Rizespor,Eyüpspor,-:-,2024-2025
20/04/2025,İstanbul Başakşehir,Gaziantep FK,-:-,2024-2025
,Galatasaray,Bodrum FK,-:-,2024-2025
,Adana Demirspor,Trabzonspor,-:-,2024-2025
,Kasımpaşa SK,Sivasspor,-:-,2024-2025
,Alanyaspor,Samsunspor,-:-,2024-2025
,Fenerbahçe,Kayserispor,-:-,2024-2025
,Hatayspor,Konyaspor,-:-,2024-2025
,Sivasspor,Antalyaspor,-:-,2024-2025
,Beşiktaş,Hatayspor,-:-,2024-2025
27/04/2025,Kayserispor,Çaykur Rizespor,-:-,2024-2025
,Konyaspor,Adana Demirspor,-:-,2024-2025
,Trabzonspor,Alanyaspor,-:-,2024-2025
,Eyüpspor,Galatasaray,-:-,2024-2025
,Bodrum FK,Samsunspor,-:-,2024-2025
,Göztepe,İstanbul Başakşehir,-:-,2024-2025
,Gaziantep FK,Fenerbahçe,-:-,2024-2025
,Galatasaray,Sivasspor,-:-,2024-2025
,Çaykur Rizespor,Gaziantep FK,-:-,2024-2025
04/05/2025,Samsunspor,Eyüpspor,-:-,2024-2025
,Adana Demirspor,Göztepe,-:-,2024-2025
,Antalyaspor,Konyaspor,-:-,2024-2025
,Kasımpaşa SK,Trabzonspor,-:-,2024-2025
,Alanyaspor,Kayserispor,-:-,2024-2025
,Fenerbahçe,Beşiktaş,-:-,2024-2025
,Hatayspor,İstanbul Başakşehir,-:-,2024-2025
,Sivasspor,Bodrum FK,-:-,2024-2025
,Beşiktaş,Adana Demirspor,-:-,2024-2025
11/05/2025,Kayserispor,Antalyaspor,-:-,2024-2025
,Konyaspor,Çaykur Rizespor,-:-,2024-2025
,Trabzonspor,Galatasaray,-:-,2024-2025
,İstanbul Başakşehir,Fenerbahçe,-:-,2024-2025
,Eyüpspor,Kasımpaşa SK,-:-,2024-2025
,Göztepe,Hatayspor,-:-,2024-2025
,Gaziantep FK,Alanyaspor,-:-,2024-2025
,Bodrum FK,Trabzonspor,-:-,2024-2025
,Galatasaray,Kayserispor,-:-,2024-2025
18/05/2025,Çaykur Rizespor,Göztepe,-:-,2024-2025
,Samsunspor,Sivasspor,-:-,2024-2025
,Adana Demirspor,Hatayspor,-:-,2024-2025
,Antalyaspor,Gaziantep FK,-:-,2024-2025
,Kasımpaşa SK,İstanbul Başakşehir,-:-,2024-2025
,Alanyaspor,Beşiktaş,-:-,2024-2025
,Fenerbahçe,Eyüpspor,-:-,2024-2025
,Beşiktaş,Çaykur Rizespor,-:-,2024-2025
,Hatayspor,Fenerbahçe,-:-,2024-2025
25/05/2025,Kayserispor,Bodrum FK,-:-,2024-2025
,Konyaspor,Alanyaspor,-:-,2024-2025
,Trabzonspor,Samsunspor,-:-,2024-2025
,Eyüpspor,Antalyaspor,-:-,2024-2025
,İstanbul Başakşehir,Adana Demirspor,-:-,2024-2025
,Gaziantep FK,Kasımpaşa SK,-:-,2024-2025
,Göztepe,Galatasaray,-:-,2024-2025
,Bodrum FK,Beşiktaş,-:-,2024-2025
,Galatasaray,İstanbul Başakşehir,-:-,2024-2025
01/06/2025,Çaykur Rizespor,Hatayspor,-:-,2024-2025
,Fenerbahçe,Konyaspor,-:-,2024-2025
,Samsunspor,Kayserispor,-:-,2024-2025
,Adana Demirspor,Gaziantep FK,-:-,2024-2025
,Antalyaspor,Trabzonspor,-:-,2024-2025
,Kasımpaşa SK,Göztepe,-:-,2024-2025
,Alanyaspor,Sivasspor,-:-,2024-2025
