Brand,Seri,Model,Title,Year,KM,Price
Dacia,Sandero,1.5 dCi Stepway,REİS BEY'DEN DACİA SANDERO STEPWAY,2015,216.000,534.750 TL
Audi,A4,A4 Sedan 2.0 TFSI Quattro,AUDİ A4 2.0T OTOMATİK !!!!,2006,322.100,595.000 TL
Chevrolet,Cruze,1.6 LS,HATASIZ - BOYASIZ - OTOMATİK VİTES,2010,200.000,470.000 TL
Audi,A3,A3 Sportback 1.6 TDI,'2013+AUDİ+A3­+S-TRONİC+İÇİ BEJ+CAM TVN+SLİNE+BA­NG&OLUFSEN',2013,318.000,789.750 TL
Honda,Accord,2.0 Executive,EGEHAN | 2011 HONDA ACCORD EXECUTIVE HATASIZ AYARINDA,2011,215.000,729.950 TL
Fiat,Linea,1.6 Multijet Emotion Plus,2012 6 İLERI M-JET 225 KM !FULL YAPILI!! TAKAS/VADE/ELDEN TAKSİT,2012,225.000,460.000 TL
Volkswagen,Jetta,1.6 TDI Comfortline,2015/JETTA/DÜŞÜK/­KM/TRAMERSİZ/SİYA­H/İÇİ/BEJ/BOYASIZ,2015,145.000,885.000 TL
Honda,Civic,1.6i VTEC Eco Elegance,HATASIZ_BOYASIZ_KAYI­TSIZ_2014_MODEL_73.­BİN'DE_DOUBLE_EKRAN_,2014,73.000,1.095.000 TL
Mercedes-Benz,C Serisi,C 200 AMG,C200/360/ÇİFTNAVİ/D .LİGHT/BURMESTER/19J­ANT/E.BAGAJ/KEYLESS,2023,29.800,3.495.000 TL
BMW,3 Serisi,320i ED Luxury M Plus,İLK SAHİBİNDEN/ HATASIZ AYARINDA/ M DİREKSİYON/ HARMAN KARDON,2014,228.700,1.197.000 TL
Hyundai,Accent Era,1.5 CRDi-VGT Team,2009 1.5 110 HP! SES SİSTEMLİ! 198 KM TAKAS/VADE/ELDEN TAKSİT,2009,198.000,390.000 TL
Renault,Megane,1.5 dCi Icon,2018 MODEL RENAULT MEGANE IV 1.5 DCİ İCON OTOMATİK 110 BG,2018,149.000,1.015.000 TL
