Date,Home Team,Away Team,Score,Season
11/01/2025,SC Freiburg,Holstein Kiel,3:2 (2:0),2024-2025
,1. FSV Mainz 05,VfL Bochum,2:0 (1:0),2024-2025
,FC St. Pauli,Eintracht Frankfurt,0:1 (0:1),2024-2025
,Bor. Mönchengladbach,Bayern München,0:1 (0:0),2024-2025
,RB Leipzig,Werder Bremen,4:2 (2:1),2024-2025
,FC Augsburg,VfB Stuttgart,0:1 (0:0),2024-2025
12/01/2025,Holstein Kiel,Borussia Dortmund,4:2 (3:0),2024-2025
,Bayer Leverkusen,1. FSV Mainz 05,1:0 (0:0),2024-2025
14/01/2025,Eintracht Frankfurt,SC Freiburg,4:1 (1:1),2024-2025
,VfL Wolfsburg,Bor. Mönchengladbach,5:1 (1:0),2024-2025
,VfL Bochum,FC St. Pauli,1:0 (0:0),2024-2025
,VfB Stuttgart,RB Leipzig,2:1 (0:1),2024-2025
15/01/2025,Bayern München,1899 Hoffenheim,5:0 (3:0),2024-2025
,Werder Bremen,1. FC Heidenheim 1846,3:3 (1:1),2024-2025
,1. FC Union Berlin,FC Augsburg,0:2 (0:2),2024-2025
,Eintracht Frankfurt,Borussia Dortmund,2:0 (1:0),2024-2025
,VfL Bochum,RB Leipzig,3:3 (0:3),2024-2025
17/01/2025,Holstein Kiel,1899 Hoffenheim,1:3 (0:2),2024-2025
18/01/2025,VfB Stuttgart,SC Freiburg,4:0 (3:0),2024-2025
,Bayern München,VfL Wolfsburg,3:2 (2:1),2024-2025
,1. FC Heidenheim 1846,FC St. Pauli,0:2 (0:1),2024-2025
,Bayer Leverkusen,Bor. Mönchengladbach,1:0,2024-2025
,1. FC Union Berlin,1. FSV Mainz 05,-:-,2024-2025
,Werder Bremen,FC Augsburg,-:-,2024-2025
19/01/2025,VfL Wolfsburg,Holstein Kiel,-:-,2024-2025
,RB Leipzig,Bayer Leverkusen,-:-,2024-2025
24/01/2025,1. FSV Mainz 05,VfB Stuttgart,-:-,2024-2025
25/01/2025,SC Freiburg,Bayern München,-:-,2024-2025
,FC Augsburg,1. FC Heidenheim 1846,-:-,2024-2025
,Borussia Dortmund,Werder Bremen,-:-,2024-2025
,Bor. Mönchengladbach,VfL Bochum,-:-,2024-2025
,1899 Hoffenheim,Eintracht Frankfurt,-:-,2024-2025
,FC St. Pauli,1. FC Union Berlin,-:-,2024-2025
26/01/2025,Werder Bremen,1. FSV Mainz 05,-:-,2024-2025
,1. FC Heidenheim 1846,Borussia Dortmund,-:-,2024-2025
31/01/2025,VfL Bochum,SC Freiburg,-:-,2024-2025
01/02/2025,FC St. Pauli,FC Augsburg,-:-,2024-2025
,VfB Stuttgart,Bor. Mönchengladbach,-:-,2024-2025
,Bayern München,Holstein Kiel,-:-,2024-2025
,1. FC Union Berlin,RB Leipzig,-:-,2024-2025
,Eintracht Frankfurt,VfL Wolfsburg,-:-,2024-2025
,Bayer Leverkusen,1899 Hoffenheim,-:-,2024-2025
02/02/2025,Bayern München,Werder Bremen,-:-,2024-2025
,VfL Wolfsburg,Bayer Leverkusen,-:-,2024-2025
07/02/2025,Borussia Dortmund,VfB Stuttgart,-:-,2024-2025
08/02/2025,SC Freiburg,1. FC Heidenheim 1846,-:-,2024-2025
,1. FSV Mainz 05,FC Augsburg,-:-,2024-2025
,1899 Hoffenheim,1. FC Union Berlin,-:-,2024-2025
,Bor. Mönchengladbach,Eintracht Frankfurt,-:-,2024-2025
,Holstein Kiel,VfL Bochum,-:-,2024-2025
,RB Leipzig,FC St. Pauli,-:-,2024-2025
09/02/2025,FC Augsburg,RB Leipzig,-:-,2024-2025
,VfL Bochum,Borussia Dortmund,-:-,2024-2025
14/02/2025,FC St. Pauli,SC Freiburg,-:-,2024-2025
15/02/2025,VfB Stuttgart,VfL Wolfsburg,-:-,2024-2025
,1. FC Union Berlin,Bor. Mönchengladbach,-:-,2024-2025
,Bayer Leverkusen,Bayern München,-:-,2024-2025
,Werder Bremen,1899 Hoffenheim,-:-,2024-2025
,Eintracht Frankfurt,Holstein Kiel,-:-,2024-2025
16/02/2025,1. FC Heidenheim 1846,1. FSV Mainz 05,-:-,2024-2025
,SC Freiburg,Werder Bremen,-:-,2024-2025
,Holstein Kiel,Bayer Leverkusen,-:-,2024-2025
21/02/2025,Bor. Mönchengladbach,FC Augsburg,-:-,2024-2025
22/02/2025,VfL Wolfsburg,VfL Bochum,-:-,2024-2025
,1. FSV Mainz 05,FC St. Pauli,-:-,2024-2025
,Borussia Dortmund,1. FC Union Berlin,-:-,2024-2025
,RB Leipzig,1. FC Heidenheim 1846,-:-,2024-2025
,Bayern München,Eintracht Frankfurt,-:-,2024-2025
23/02/2025,1899 Hoffenheim,VfB Stuttgart,-:-,2024-2025
,VfB Stuttgart,Bayern München,-:-,2024-2025
,FC St. Pauli,Borussia Dortmund,-:-,2024-2025
28/02/2025,VfL Bochum,1899 Hoffenheim,-:-,2024-2025
01/03/2025,Werder Bremen,VfL Wolfsburg,-:-,2024-2025
,RB Leipzig,1. FSV Mainz 05,-:-,2024-2025
,1. FC Heidenheim 1846,Bor. Mönchengladbach,-:-,2024-2025
,Eintracht Frankfurt,Bayer Leverkusen,-:-,2024-2025
,1. FC Union Berlin,Holstein Kiel,-:-,2024-2025
,FC Augsburg,SC Freiburg,-:-,2024-2025
02/03/2025,Holstein Kiel,VfB Stuttgart,-:-,2024-2025
,SC Freiburg,RB Leipzig,-:-,2024-2025
08/03/2025,1899 Hoffenheim,1. FC Heidenheim 1846,-:-,2024-2025
,Bayer Leverkusen,Werder Bremen,-:-,2024-2025
,Borussia Dortmund,FC Augsburg,-:-,2024-2025
,Bor. Mönchengladbach,1. FSV Mainz 05,-:-,2024-2025
,Eintracht Frankfurt,1. FC Union Berlin,-:-,2024-2025
,Bayern München,VfL Bochum,-:-,2024-2025
,VfL Wolfsburg,FC St. Pauli,-:-,2024-2025
,VfB Stuttgart,Bayer Leverkusen,-:-,2024-2025
,1. FC Union Berlin,Bayern München,-:-,2024-2025
15/03/2025,RB Leipzig,Borussia Dortmund,-:-,2024-2025
,VfL Bochum,Eintracht Frankfurt,-:-,2024-2025
,FC St. Pauli,1899 Hoffenheim,-:-,2024-2025
,1. FSV Mainz 05,SC Freiburg,-:-,2024-2025
,FC Augsburg,VfL Wolfsburg,-:-,2024-2025
,Werder Bremen,Bor. Mönchengladbach,-:-,2024-2025
,1. FC Heidenheim 1846,Holstein Kiel,-:-,2024-2025
,Eintracht Frankfurt,VfB Stuttgart,-:-,2024-2025
,Bor. Mönchengladbach,RB Leipzig,-:-,2024-2025
29/03/2025,VfL Wolfsburg,1. FC Heidenheim 1846,-:-,2024-2025
,Holstein Kiel,Werder Bremen,-:-,2024-2025
,1899 Hoffenheim,FC Augsburg,-:-,2024-2025
,Borussia Dortmund,1. FSV Mainz 05,-:-,2024-2025
,SC Freiburg,1. FC Union Berlin,-:-,2024-2025
,Bayer Leverkusen,VfL Bochum,-:-,2024-2025
,Bayern München,FC St. Pauli,-:-,2024-2025
,1. FC Heidenheim 1846,Bayer Leverkusen,-:-,2024-2025
,VfL Bochum,VfB Stuttgart,-:-,2024-2025
05/04/2025,FC Augsburg,Bayern München,-:-,2024-2025
,SC Freiburg,Borussia Dortmund,-:-,2024-2025
,Werder Bremen,Eintracht Frankfurt,-:-,2024-2025
,RB Leipzig,1899 Hoffenheim,-:-,2024-2025
,1. FC Union Berlin,VfL Wolfsburg,-:-,2024-2025
,FC St. Pauli,Bor. Mönchengladbach,-:-,2024-2025
,1. FSV Mainz 05,Holstein Kiel,-:-,2024-2025
,VfL Wolfsburg,RB Leipzig,-:-,2024-2025
,Bayern München,Borussia Dortmund,-:-,2024-2025
12/04/2025,Eintracht Frankfurt,1. FC Heidenheim 1846,-:-,2024-2025
,VfB Stuttgart,Werder Bremen,-:-,2024-2025
,Bor. Mönchengladbach,SC Freiburg,-:-,2024-2025
,VfL Bochum,FC Augsburg,-:-,2024-2025
,1899 Hoffenheim,1. FSV Mainz 05,-:-,2024-2025
,Bayer Leverkusen,1. FC Union Berlin,-:-,2024-2025
,Holstein Kiel,FC St. Pauli,-:-,2024-2025
,FC St. Pauli,Bayer Leverkusen,-:-,2024-2025
,1. FC Union Berlin,VfB Stuttgart,-:-,2024-2025
19/04/2025,1. FC Heidenheim 1846,Bayern München,-:-,2024-2025
,FC Augsburg,Eintracht Frankfurt,-:-,2024-2025
,SC Freiburg,1899 Hoffenheim,-:-,2024-2025
,1. FSV Mainz 05,VfL Wolfsburg,-:-,2024-2025
,Borussia Dortmund,Bor. Mönchengladbach,-:-,2024-2025
,Werder Bremen,VfL Bochum,-:-,2024-2025
,RB Leipzig,Holstein Kiel,-:-,2024-2025
,Eintracht Frankfurt,RB Leipzig,-:-,2024-2025
,1899 Hoffenheim,Borussia Dortmund,-:-,2024-2025
26/04/2025,VfB Stuttgart,1. FC Heidenheim 1846,-:-,2024-2025
,VfL Wolfsburg,SC Freiburg,-:-,2024-2025
,Bayern München,1. FSV Mainz 05,-:-,2024-2025
,Holstein Kiel,Bor. Mönchengladbach,-:-,2024-2025
,VfL Bochum,1. FC Union Berlin,-:-,2024-2025
,Werder Bremen,FC St. Pauli,-:-,2024-2025
,Bayer Leverkusen,FC Augsburg,-:-,2024-2025
,SC Freiburg,Bayer Leverkusen,-:-,2024-2025
,FC St. Pauli,VfB Stuttgart,-:-,2024-2025
03/05/2025,RB Leipzig,Bayern München,-:-,2024-2025
,1. FSV Mainz 05,Eintracht Frankfurt,-:-,2024-2025
,Bor. Mönchengladbach,1899 Hoffenheim,-:-,2024-2025
,1. FC Union Berlin,Werder Bremen,-:-,2024-2025
,Borussia Dortmund,VfL Wolfsburg,-:-,2024-2025
,1. FC Heidenheim 1846,VfL Bochum,-:-,2024-2025
,FC Augsburg,Holstein Kiel,-:-,2024-2025
,Werder Bremen,RB Leipzig,-:-,2024-2025
,Bayer Leverkusen,Borussia Dortmund,-:-,2024-2025
10/05/2025,VfL Wolfsburg,1899 Hoffenheim,-:-,2024-2025
,1. FC Union Berlin,1. FC Heidenheim 1846,-:-,2024-2025
,Holstein Kiel,SC Freiburg,-:-,2024-2025
,VfB Stuttgart,FC Augsburg,-:-,2024-2025
,VfL Bochum,1. FSV Mainz 05,-:-,2024-2025
,Bayern München,Bor. Mönchengladbach,-:-,2024-2025
,Eintracht Frankfurt,FC St. Pauli,-:-,2024-2025
,1. FSV Mainz 05,Bayer Leverkusen,-:-,2024-2025
,RB Leipzig,VfB Stuttgart,-:-,2024-2025
17/05/2025,1899 Hoffenheim,Bayern München,-:-,2024-2025
,SC Freiburg,Eintracht Frankfurt,-:-,2024-2025
,1. FC Heidenheim 1846,Werder Bremen,-:-,2024-2025
,Bor. Mönchengladbach,VfL Wolfsburg,-:-,2024-2025
,FC Augsburg,1. FC Union Berlin,-:-,2024-2025
,FC St. Pauli,VfL Bochum,-:-,2024-2025
,Borussia Dortmund,Holstein Kiel,-:-,2024-2025
